round,client_0,client_1,client_2
1,83.54632587859425,70.50257503107797,74.59992556754746
2,96.76961306354278,79.75492807671817,97.24599925567547
3,97.55058572949947,90.37471141893091,97.50651283959807
4,97.94107206247782,95.36494405966968,97.71120208410868
5,98.26056088036918,96.2351269756704,98.08336434685523
6,98.58004969826057,96.80340969632391,97.99032378116858
7,98.79304224352148,97.21186290179364,98.00893189430592
8,98.93503727369543,97.62031610726336,98.1950130256792
9,99.14802981895635,98.02876931273309,98.28805359136584
10,99.29002484913028,98.36618717812111,98.51135094901376
11,99.43201987930422,98.65032853844788,98.56717528842576
12,99.39652112176074,98.75688154857042,98.82768887234835
13,99.5917642882499,99.02326407387675,98.82768887234835
14,99.71600993965211,99.30740543420352,98.80908075921101
15,99.64501242456514,99.43171727934647,98.97655377744697
16,99.85800496982606,99.43171727934647,99.03237811685895
17,99.80475683351084,99.64482329959155,99.34871604019352
18,99.8757543485978,99.43171727934647,99.2742835876442
19,99.91125310614129,99.62706446457112,99.44175660588016
20,99.89350372736953,99.73361747469366,99.42314849274284
21,99.89350372736953,99.73361747469366,99.64644585039078
22,99.92900248491303,99.80465281477535,99.70227018980276
23,99.91125310614129,99.80465281477535,99.64644585039078
24,99.96450124245652,99.85792931983661,99.77670264235206
25,99.98225062122825,99.89344698987746,99.70227018980276
26,99.94675186368477,99.89344698987746,99.85113509490138
27,99.92900248491303,99.89344698987746,99.88835132117603
28,99.96450124245652,99.85792931983661,99.7953107554894
29,100.0,99.94672349493872,99.90695943431336
30,99.96450124245652,99.94672349493872,99.92556754745068
