round,client_0,client_1,client_2
1,0.43287859171155896,0.6537712422701029,0.31302511540875916
2,0.11660826926873553,0.4350389765623288,0.14495782720168002
3,0.08912538000131175,0.376265487800806,0.10945573148142168
4,0.07287081459995419,0.3488197203439016,0.09216662114351125
5,0.060895717817373456,0.33223999310762453,0.07997231753003121
6,0.05170634686429468,0.3200156030555566,0.06961808218688205
7,0.04487810325291421,0.3070951806238065,0.06113808388835278
8,0.039603132957829135,0.2747100861981893,0.054389497859106545
9,0.035526650824717114,0.21175218898898515,0.04876462518966392
10,0.03222200794733085,0.1348892421198961,0.0439427650121945
11,0.02991341479540256,0.08717783379296844,0.0397442645676758
12,0.02754036351088582,0.06724532624372305,0.036065732908394675
13,0.025258569032072076,0.05726044011923174,0.03259511920623481
14,0.022844667430497734,0.050900347178610854,0.029343733452665416
15,0.020687625791493153,0.04622023965781316,0.026428784766787852
16,0.018674962530245205,0.042394579853862524,0.024014640803637816
17,0.016994390491625322,0.0390510095241599,0.021571110159604123
18,0.015421415088071842,0.03614348504178894,0.01947949022270631
19,0.013942598756994046,0.033582764003091514,0.017461347368383864
20,0.012521825548786197,0.0312545022700364,0.015683873902425927
21,0.011352668554450029,0.0291437128952776,0.014148194622923283
22,0.010285694068154536,0.02729308760414521,0.01290833569921391
23,0.009307954526559028,0.02560784152517907,0.011786104102308551
24,0.008463329197386177,0.024104024189560175,0.010812257349059202
25,0.0076017501731199906,0.022838926002478752,0.00998950739259548
26,0.006722089633787243,0.021563080021550354,0.009273643891387821
27,0.00608757395994395,0.02037798288242462,0.008623833368208421
28,0.005421853658585211,0.019299857984058175,0.008112939231543112
29,0.004961577048345048,0.018325801762656715,0.007587114909150893
30,0.0045652905292439434,0.017413906311281983,0.007128012278016009
