round,client_0,client_1,client_2
1,0.5065026348133846,1.0036366243617316,0.5700799841034014
2,0.1223598824935846,0.6630298273111613,0.20195284796558202
3,0.07717519139829344,0.37971968281627555,0.08023267807946166
4,0.06438657077426738,0.20347245290098312,0.06440508787377776
5,0.054064800716282425,0.13415389788337437,0.05853255664160982
6,0.045157211540775344,0.10042055794954978,0.053914217421623944
7,0.03756971271831373,0.08036695371609573,0.049748968043245696
8,0.031140514818446537,0.06562401300847163,0.045660324451083686
9,0.025766394892723997,0.05392644154017605,0.041586313000755985
10,0.02134774734178822,0.04452842982861992,0.03749506078307415
11,0.017414236966563086,0.03701260157653028,0.03329602892202925
12,0.014042989533626442,0.030643995879560345,0.029096775845011136
13,0.01124581672198768,0.025320952005769497,0.025014918725468537
14,0.008982787040369053,0.0209648587863844,0.021148409634586408
15,0.007124707006582438,0.017380452163443378,0.017556165008634817
16,0.0056299994148340665,0.014509282816844934,0.014139349280231856
17,0.004458836418265326,0.012240675090949588,0.011123136004795583
18,0.003578729796267809,0.010406174809227972,0.008692383396550976
19,0.002925383957744164,0.00888115653900716,0.00684145345103498
20,0.0024402610129559835,0.007621426570696134,0.005466063640978903
21,0.0020715755553804074,0.0065760670272188085,0.004439213056040581
22,0.0017861853363294361,0.0057120855513486885,0.003663566533278897
23,0.001560034403114761,0.00496909531271487,0.00306876204822572
24,0.0013766246071998942,0.0042741369607910236,0.0026086729942480023
25,0.0012267544731222975,0.0036898770364958353,0.0022474037937716784
26,0.0011023563980341025,0.0032047810759475853,0.001959670198485549
27,0.000996747913189279,0.002796315157658715,0.0017263574245600835
28,0.000907353168173078,0.0023513348463673326,0.001534507518653321
29,0.0008305309521663521,0.0020531486787009677,0.00137550841678333
30,0.0007638536138602505,0.0018330265689710812,0.001242313935084509
