round,client_0,client_1,client_2
1,0.3082686708796592,0.8691486760209769,0.2827965322665978
2,0.10213670306765134,0.5054459415185146,0.1467634380079698
3,0.07948131281660781,0.37611005054070396,0.11355535119124081
4,0.06564163217424519,0.2506510873253529,0.09729711541339107
5,0.05552920712054604,0.1704826602855554,0.08632910860351461
6,0.04794377364432587,0.13143722259272367,0.07856429613235852
7,0.042428974173076096,0.10894528162689544,0.07243862577403586
8,0.038221895809300126,0.09412265597627713,0.06725264242107885
9,0.03476882413665335,0.08342840474767561,0.06210306559459886
10,0.03188089110485707,0.07523716756930719,0.05702289719256046
11,0.0293166624143764,0.06876426159093778,0.052015104297332575
12,0.027045198020965066,0.0634142078865224,0.047265709327209894
13,0.025093677724408545,0.05884144409822348,0.042946553775581764
14,0.02333447056645084,0.054803257628988765,0.0390981227375459
15,0.021471987765315656,0.051114354999019555,0.03534613575016999
16,0.019902496942594307,0.04782520071006357,0.03201154982030014
17,0.018525578374493985,0.04489611686231234,0.029251226640738332
18,0.01729217047330975,0.04223264277411195,0.02692200580402615
19,0.01588478542509533,0.03980596368320477,0.02492737339175158
20,0.014302378494730442,0.03751741030898231,0.023185118039111618
21,0.012874530307719454,0.035402461975956194,0.021584898526982768
22,0.01160665753640286,0.033405587901003085,0.020267720106462744
23,0.010393278699854227,0.03149470790193822,0.019033223400702296
24,0.009324483404010868,0.02973953730617769,0.01787076434424228
25,0.008464694254230597,0.02805188940599179,0.016860421075472146
26,0.007655072686219004,0.026479090241572033,0.0159532327198194
27,0.007024069488767371,0.025039665997983556,0.01495517393661852
28,0.006471818468107525,0.023714556949786265,0.014064436759023616
29,0.005891380820743045,0.022497166563064244,0.013273965958775816
30,0.005377469001460769,0.02137197512321365,0.0124027038801232
