round,client_0,client_1,client_2
1,96.14970704292718,86.61079711557201,96.43952673093777
2,97.35740762884133,88.87156499707659,97.61174408413672
3,98.21834269998804,89.31982069771975,97.83085013146363
4,98.72055482482362,89.63165075034107,98.11568799298861
5,99.11515006576587,89.90450204638472,98.38957055214725
6,99.34234126509625,98.42136035860456,98.82778264680105
7,99.52170273825183,98.59676476320406,99.18930762489045
8,99.65323448523257,98.81114792438122,99.46319018404908
9,99.7369365060385,98.88910543753654,99.58369851007888
10,99.78476623221331,98.98655232898071,99.72611744084136
11,99.86846825301924,99.12297797700253,99.79184925503944
12,99.91629797919407,99.1619567335802,99.83567046450482
13,99.9760851369126,99.2788930033132,99.85758106923751
14,99.9880425684563,99.33736113817969,99.91235758106923
15,100.0,99.39582927304619,99.93426818580193
16,100.0,99.43480802962385,99.94522348816828
17,100.0,99.47378678620153,99.94522348816828
18,100.0,99.49327616449035,99.95617879053462
19,100.0,99.53225492106802,99.95617879053462
20,100.0,99.5712336776457,99.95617879053462
21,100.0,99.59072305593452,99.96713409290096
22,100.0,99.62970181251218,99.96713409290096
23,100.0,99.66868056908986,99.96713409290096
24,100.0,99.7076593256675,99.96713409290096
25,100.0,99.78561683882285,99.96713409290096
26,100.0,99.80510621711167,99.96713409290096
27,100.0,99.82459559540051,99.96713409290096
28,100.0,99.82459559540051,99.96713409290096
29,100.0,99.82459559540051,99.96713409290096
30,100.0,99.82459559540051,99.96713409290096
