round,client_0,client_1,client_2
1,0.5065026348133846,0.7184850754403648,0.3803585279137247
2,0.15656794183337078,0.5215933011810684,0.18716033313997832
3,0.09856725419245448,0.471348742555783,0.13796238449349355
4,0.08056005767857696,0.44573961273395857,0.11485843712480381
5,0.06899515318936314,0.4207235855421249,0.10085217273626475
6,0.06030753263761755,0.35237352751940354,0.09108906976750168
7,0.054000923786510266,0.23025377829791965,0.08350317068689145
8,0.04872277474989395,0.14944546555975985,0.07745472454352587
9,0.04379893583567918,0.11600208206677044,0.0718393166275803
10,0.038800788452290506,0.09607539906169857,0.06689977607747681
11,0.033767257166287826,0.08108337584481402,0.06254540408678762
12,0.02945926298995998,0.0695769535917351,0.058711056653796084
13,0.02593616991955269,0.06051067290398164,0.055238960550435055
14,0.02315919368804769,0.05323578080276306,0.05217453509369525
15,0.020794787589256077,0.0472568374771958,0.04953389171122277
16,0.01873333885638261,0.042060163520633354,0.04705720465025355
17,0.01684535886308701,0.03733339290326078,0.04487398213854448
18,0.015155809212191913,0.033386590149133866,0.042440421970101554
19,0.013687295696202547,0.029984154559255974,0.04022164208494009
20,0.012363569220052372,0.027078469161433562,0.03805033212363343
21,0.011208809295841334,0.024584654900844362,0.03592946024923766
22,0.010158246496276616,0.02241196705632978,0.03389715769146441
23,0.009161914399634496,0.020567089253513356,0.03205673231881571
24,0.008237799992507698,0.018941541638229507,0.030233325885215743
25,0.007406333847485048,0.017589084075065094,0.028582178155715177
26,0.00668091614403189,0.01631120593000757,0.027137791851022237
27,0.005996034353423058,0.014763513345659248,0.025507911518465688
28,0.005400235132800975,0.013415531915660096,0.023895797257899365
29,0.0048717475283637825,0.012333966933729118,0.022384071293647563
30,0.0043936179946328785,0.011365944678525634,0.02110312532632619
