round,client_0,client_1,client_2
1,98.42030528931487,81.1933937133724,97.52512095273539
2,99.13028044018459,81.67288225892382,98.90212132489765
3,99.6272630457934,97.69135144734506,99.53479717156681
4,99.53851615193469,99.02326407387675,99.75809452921473
5,99.80475683351084,99.36068193926478,99.85113509490138
6,99.80475683351084,99.48499378440773,99.70227018980276
7,99.94675186368477,99.59154679453029,99.83252698176405
8,99.94675186368477,99.64482329959155,99.55340528470413
9,99.94675186368477,99.75137630971408,99.94417566058802
10,99.94675186368477,95.8444326052211,99.96278377372533
11,99.96450124245652,99.48499378440773,99.98139188686267
12,99.85800496982606,99.57378795950986,77.8377372534425
13,99.92900248491303,99.69809980465281,60.19724599925568
14,99.98225062122825,99.8401704848162,62.78377372534425
15,100.0,99.8401704848162,96.35280982508374
16,100.0,99.85792931983661,97.32043170822479
17,100.0,99.82241164979577,97.63676963155936
18,100.0,99.82241164979577,97.97171566803125
19,100.0,99.82241164979577,97.99032378116858
20,100.0,99.8401704848162,98.12058057312989
21,100.0,99.82241164979577,98.28805359136584
22,100.0,99.82241164979577,98.32526981764049
23,100.0,99.09429941395844,98.38109415705247
24,100.0,99.73361747469366,98.28805359136584
25,100.0,99.91120582489789,98.38109415705247
26,100.0,99.91120582489789,98.58578340156308
27,100.0,99.91120582489789,98.51135094901376
28,100.0,99.91120582489789,98.51135094901376
29,100.0,99.91120582489789,98.84629698548567
30,100.0,99.91120582489789,98.73464830666171
