round,client_0,client_1,client_2
1,96.26928135836422,85.26603001364256,97.11875547765119
2,97.48893937582207,88.91054375365425,97.60078878177038
3,98.20638526844434,89.1833950496979,97.85276073619632
4,98.78034198254215,89.31982069771975,98.10473269062227
5,99.09123520267846,89.49522510231922,98.2581069237511
6,99.24668181274662,89.57318261547456,98.40052585451359
7,99.35429869663996,89.74858702007405,98.5977212971078
8,99.50974530670813,95.28357045410252,98.94829097283086
9,99.56953246442664,98.24595595400507,99.23312883435584
10,99.62931962214516,98.61625414149289,99.43032427695005
11,99.70106421140738,98.79165854609238,99.64943032427695
12,99.7369365060385,98.90859481582538,99.7370727432077
13,99.79672366375702,98.98655232898071,99.80280455740579
14,99.86846825301924,99.0450204638472,99.82471516213847
15,99.89238311610666,99.14246735529136,99.8794916739702
16,99.9880425684563,99.1619567335802,99.90140227870289
17,100.0,99.2204248684467,99.94522348816828
18,100.0,99.23991424673552,99.94522348816828
19,100.0,99.29838238160202,99.94522348816828
20,100.0,99.35685051646853,99.94522348816828
21,100.0,99.41531865133503,99.94522348816828
22,100.0,99.47378678620153,99.94522348816828
23,100.0,99.53225492106802,99.94522348816828
24,100.0,99.5712336776457,99.94522348816828
25,100.0,99.59072305593452,99.94522348816828
26,100.0,99.66868056908986,99.94522348816828
27,100.0,99.66868056908986,99.94522348816828
28,100.0,99.68816994737868,99.94522348816828
29,100.0,99.7076593256675,99.94522348816828
30,100.0,99.7076593256675,99.94522348816828
