round,client_0,client_1,client_2
1,0.3082686708796592,0.7987924902102885,0.34569756389744044
2,0.08832804195671563,0.3580395640471043,0.09644400341557742
3,0.06651046145189968,0.14219188440638855,0.06657400030635999
4,0.0506333702036904,0.06731641670772566,0.055515093114766954
5,0.040485232201818794,0.055590193212712906,0.04489936812551341
6,0.03428936708766583,0.050051290349354245,0.03639006106717769
7,0.029759359043387196,0.04613615795432661,0.029881860525178574
8,0.02600488299688709,0.04286961203876835,0.024962581597746055
9,0.022600417748363393,0.03984616136100764,0.021119207602485243
10,0.019436388561550142,0.03697381720233422,0.017998485682967483
11,0.016579233572840513,0.03418078804567743,0.015353423082885549
12,0.013973489518523112,0.03174961408083805,0.013076436318468937
13,0.011668477123575507,0.029648663574614778,0.011111292276810686
14,0.009638908181740489,0.02761420495255898,0.009428590409579161
15,0.007906302417737491,0.025700688963600744,0.008022968700337831
16,0.006362333443590499,0.023878965814126272,0.006849703900946264
17,0.0050615009128546625,0.022174334286365848,0.005836203540757592
18,0.0040051762529950035,0.020566686233416055,0.004999252066635813
19,0.003193619868859911,0.01906459071771958,0.004230815715055686
20,0.0025925762870068116,0.017509032589329693,0.0036582529248625033
21,0.002157565110431437,0.016109206900299072,0.003210879094694974
22,0.0018092890097741185,0.014863413563804127,0.0028461349949424584
23,0.0015484855188881898,0.01374526168533171,0.002585501573617955
24,0.0013448207783579756,0.012741208594749108,0.0022396599321665776
25,0.0011800115947167681,0.011842380224082334,0.0020253750155487965
26,0.0010452572107371653,0.011025443419408148,0.001832648947695987
27,0.0009363374743799564,0.010294323128525717,0.0016545317238247346
28,0.0008436545058863148,0.009632493408086399,0.0015242989913425897
29,0.0007665685563465341,0.008927383567191636,0.0014200717690508336
30,0.000699820498690921,0.008203467782527113,0.001330806049736566
