round,client_0,client_1,client_2
1,0.27203278938964504,0.9958160416748119,0.5104350084211318
2,0.1643845594492823,0.714977828277362,0.09558113188618111
3,0.13072423744823733,0.385888065541432,0.06488102603407507
4,0.09485111864568666,0.26750504540531234,0.057574961586100794
5,0.06463012964742545,0.20893357157573136,0.05165364841874303
6,0.05391927832911024,0.17121355446175826,0.046227593157445505
7,0.04583521105160397,0.14446496149816246,0.04094008799430204
8,0.038998239902013995,0.12483149988326807,0.035823233232328215
9,0.03316642010172095,0.1096477312729568,0.03085076617315687
10,0.02828887768463138,0.0971556515950847,0.025935429027873637
11,0.02391010748895588,0.08667700566765556,0.021111812301473652
12,0.020156743100932156,0.07775445517315956,0.01685085238885625
13,0.017019336185458953,0.06968763710446124,0.013225999028816951
14,0.014420959417700614,0.06253245671356415,0.010284391447624212
15,0.012307654066135177,0.05680039534525547,0.007929337417442043
16,0.010440278794016298,0.051813419715768805,0.006158844028145395
17,0.008869820212919554,0.04720279060840917,0.004871746155198475
18,0.00752044955808137,0.04312677700664631,0.003931619892598253
19,0.006360879367649802,0.039642948955862005,0.0032366599503948715
20,0.005443863068992602,0.03664825707105078,0.002714537358453439
21,0.004657594784742164,0.03399681820799513,0.0023115127639755013
22,0.004003300303303858,0.031731722216956366,0.001995443432582497
23,0.003479305719384253,0.029772144622952124,0.0017430458593548164
24,0.0030487334636239666,0.02814030976181955,0.0015387254281413383
25,0.002693990088835951,0.026598589084155976,0.0013699525503774199
26,0.0024022401561131852,0.025242119732317325,0.0012303528407673922
27,0.002160723911588379,0.024068094816995875,0.001112649660148979
28,0.001948611928706471,0.023047569471096114,0.0010126094482209734
29,0.0017722541879932085,0.02214951477436546,0.0009266532460474448
30,0.0016203810105313873,0.021360086707753006,0.0008520871691467064
