round,client_0,client_1,client_2
1,0.5265628766943836,1.0244490490322224,0.6168431871467167
2,0.1510908469470621,0.7014553044971666,0.24021525055537993
3,0.08652272582468058,0.3871652983259737,0.09022322906480158
4,0.07177356231892318,0.19876372639895878,0.07178822554142018
5,0.060855021651246045,0.134324891634329,0.0655103920970434
6,0.05456402718650493,0.10911340058416302,0.06082085156123396
7,0.04539784427176704,0.09241356561232729,0.05810992162743652
8,0.04084836667109477,0.08235745427160583,0.055221635601080864
9,0.034431210822529264,0.06989829878905537,0.05179040518554825
10,0.029419826607802634,0.057983912930589666,0.050440042199176034
11,0.02408303746038623,0.05037398903211306,0.044066219214051044
12,0.021246412793468488,0.0436187836706464,0.04231315731059438
13,0.01907001635364709,0.03751714407787685,0.039910551284175415
14,0.015696123176341472,0.03137418558025918,0.03672449441661161
15,0.013389777715524865,0.027831016008998132,0.03453244827975186
16,0.010827454303293243,0.023948830218811393,0.03094547119474521
17,0.010234109087907083,0.020062639870223376,0.02686681750052275
18,0.008632610067459674,0.01907865277883646,0.0236433432135662
19,0.007261651250695788,0.01593488428880575,0.021434357017566116
20,0.006401973361066374,0.014290695880643196,0.018870301556164096
21,0.0063227293332112815,0.012949541748953406,0.017438440580771847
22,0.005171330996202876,0.012001247480865678,0.015430038108599636
23,0.004780539254452325,0.010153691012041959,0.013558721044072077
24,0.004576567471080476,0.00912861780049715,0.011603311797960397
25,0.0035818957200148605,0.008739357695054285,0.010566591433203423
26,0.003133417892457689,0.006745921750144477,0.00878116345201205
27,0.002253147770721487,0.007455496850514741,0.008572636591126843
28,0.002339095238743252,0.0061208341493303965,0.006632560852952416
29,0.0018882367415122185,0.005551866136221706,0.006290853308459146
30,0.0016551741509244246,0.004894970118494334,0.005522931545626453
