round,client_0,client_1,client_2
1,0.27093153307486695,0.9956021772490607,0.5099284472288909
2,0.16406118146508758,0.7142917921668605,0.09553694859560995
3,0.13059020547838937,0.38599627791789537,0.06492179407979604
4,0.0947384060257011,0.2677116556125775,0.05760620150393173
5,0.06467064865456339,0.2091090738860487,0.05167083333556851
6,0.0539597884713732,0.17131472544537651,0.04623104967061936
7,0.04586440279034146,0.14450762795600278,0.040932882462202766
8,0.0390015823565075,0.12482269413289966,0.03580936066587858
9,0.03315077142855316,0.10958534533604543,0.03083568737255754
10,0.02824853423421887,0.09707278294260042,0.025923977177705112
11,0.02384938561079795,0.08659853995369192,0.021106445092569898
12,0.02009331123843484,0.07769003746845918,0.016850460527671706
13,0.01696212326546815,0.06964000106424267,0.01322845686485784
14,0.014375255217813826,0.062480282060235565,0.010287050782260198
15,0.012272652512285534,0.056736703548166484,0.007932150783161
16,0.010412914076975236,0.05174425906605191,0.006160478429569874
17,0.0088488058178898,0.04715557165487468,0.004872821809660735
18,0.007504058019421472,0.043087937460656756,0.003932174924332763
19,0.006348011299711788,0.039602386078944334,0.0032371155656069333
20,0.005433722117157348,0.03660938511902129,0.0027149089175149983
21,0.0046489740203118374,0.03395802104486185,0.0023119454784103224
22,0.0039960195682125915,0.03169110304626979,0.001995799609748819
23,0.0034727192496947605,0.029729375125546204,0.0017434315920166418
24,0.0030430827026183267,0.028093016172666647,0.0015390717906282386
25,0.0026887230107806516,0.026547510127880074,0.0013702761151549048
26,0.0023973334594020396,0.025188028344023995,0.0012306848116561103
27,0.002156034995984199,0.024011685480281972,0.001112963499183002
28,0.0019442418241112259,0.022987966523750833,0.0010129229116568308
29,0.001768136456828668,0.02208728812722086,0.0009269364316334063
30,0.0016165049958528886,0.0212955455764126,0.0008523645826053437
