round,client_0,client_1,client_2
1,0.17271009656737196,0.7345358705651885,0.29719174391259745
2,0.06145998399932594,0.3039337266769106,0.06833241781458534
3,0.038231644184459644,0.20530255096357275,0.03378554100937649
4,0.024857511700924127,0.1553375944270268,0.016682976770696863
5,0.018699974519718686,0.15272924715283356,0.009665174245457247
6,0.015461836468825985,0.6392739448317737,0.009144821872207064
7,0.13553673757054815,0.277929228443324,0.015240019822134809
8,0.053149801728987554,0.1492013275607444,0.006245116334570963
9,0.031736787243010836,0.10499431151989996,0.0030182062830723293
10,0.03139439709463088,0.08713982755933873,0.002315767101465527
11,0.01898341533446817,0.07620590840866735,0.0018491829732502744
12,0.014091725548189969,0.06990938723256672,0.0014842472452573981
13,0.0138953932019169,0.14290028789419126,0.0012699274823591558
14,0.010245181508155113,0.058305252112969976,0.001133317292893564
15,0.00910504913959732,0.05151382319416167,0.0010238288772391102
16,0.006189525526055191,0.047128943546473866,0.0009340468094965626
17,0.0072338550681534395,0.037969337418394915,0.0008593177142898017
18,0.00596268447996812,0.04131551741722781,0.0007949650518899104
19,0.003380180667693933,0.03364109295158864,0.0007419860002290951
20,0.002716372853911793,0.03200955043714949,0.0006925394879561045
21,0.002311112310525452,0.031294251618416084,0.0006493994377689447
22,0.0021732156677386483,0.027345366969718742,0.0006112728556585167
23,0.001923696962184102,0.029267852507363603,0.0005772717856494609
24,0.0021570738937584863,0.025584487106329327,0.000546777010763747
25,0.0017912899193281988,0.02480978800717869,0.0005195649290195278
26,0.001692227259107869,0.024103577082422858,0.0004947781130670519
27,0.0016102154434614725,0.02364990531049507,0.00047198988107487584
28,0.0015344893911539024,0.023138036503155133,0.00045118190340653056
29,0.0014678627279812566,0.022688995862204023,0.0004320970603601131
30,0.0014080247951041341,0.022285902860938782,0.00041452975223804346
